flightNumber,airline,origin,destination,dayOfWeek,scheduledDepartureTime,scheduledArrivalTime,validFrom,validTo
425,GoAir,Delhi,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",5:45,,28/10/18,30/03/19
423,GoAir,Delhi,Hyderabad,Saturday,7:30,,28/10/18,28/10/18
423,GoAir,Delhi,Hyderabad,Friday,7:30,,03/11/18,01/12/18
423,GoAir,Delhi,Hyderabad,Friday,7:30,,02/02/19,30/03/19
423,GoAir,Delhi,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",7:30,,29/10/18,30/11/18
423,GoAir,Delhi,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",7:30,,01/02/19,29/03/19
423,GoAir,Delhi,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",7:30,,02/12/18,31/01/19
422,GoAir,Delhi,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:55,,28/10/18,30/03/19
559,GoAir,Lucknow,Hyderabad,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",15:45,17:45,28/10/18,30/03/19
580,GoAir,Kochi,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",4:45,6:15,28/10/18,30/03/19
587,GoAir,Kochi,Hyderabad,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:20,19:20,28/10/18,30/03/19
587,GoAir,Kochi,Hyderabad,Monday,17:50,19:20,28/10/18,30/03/19
553,GoAir,Ahmedabad,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",11:05,12:45,29/10/18,30/03/19
552,GoAir,Ahmedabad,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:35,22:20,28/10/18,30/03/19
553,GoAir,Ahmedabad,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",11:00,12:45,01/04/19,26/10/19
552,GoAir,Ahmedabad,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:40,22:20,31/03/19,26/10/19
701,GoAir,Jaipur,Hyderabad,Saturday,8:55,10:55,28/10/18,24/03/19
431,GoAir,Jaipur,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",12:45,15:05,28/10/18,30/03/19
385,GoAir,Jaipur,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:55,,28/10/18,30/03/19
894,GoAir,Bengaluru,Hyderabad,Saturday,11:30,12:40,28/10/18,24/03/19
294,GoAir,Bengaluru,Hyderabad,Saturday,18:55,,28/10/18,24/03/19
294,GoAir,Bengaluru,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",18:55,,29/10/18,30/03/19
894,GoAir,Bengaluru,Hyderabad,Saturday,11:40,,31/03/19,20/10/19
952,GoAir,Guwahati,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",7:25,9:45,28/10/18,30/03/19
373,GoAir,Goa,Hyderabad,Saturday,4:45,,28/10/18,24/03/19
662,GoAir,Goa,Hyderabad,Saturday,10:45,12:10,28/10/18,24/03/19
370,GoAir,Goa,Hyderabad,Monday,19:45,,30/10/18,26/03/19
370,GoAir,Goa,Hyderabad,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",19:45,,28/10/18,30/03/19
572,GoAir,Goa,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",21:55,,28/10/18,30/03/19
121,GoAir,Kolkata,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",6:35,,29/10/18,30/03/19
121,GoAir,Kolkata,Hyderabad,Saturday,6:35,,28/10/18,28/10/18
125,GoAir,Kolkata,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:10,19:20,28/10/18,30/03/19
421,GoAir,Hyderabad,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",5:35,,28/10/18,29/03/19
421,GoAir,Hyderabad,Delhi,Saturday,5:45,,28/10/18,28/10/18
424,GoAir,Hyderabad,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:20,12:45,28/10/18,30/03/19
996,GoAir,Hyderabad,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:55,1:25,28/10/18,30/03/19
616,GoAir,Nagpur,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",8:25,10:05,01/12/18,31/01/19
